postcode,lat,lon,source
NW1 0AP,51.53414697581881,-0.15120622003602788,
NW2 1AP,51.568055291617576,-0.21969443913981404,
NW2 1AJ,51.57110818560719,-0.2126729634794365,
NW3 1AA,51.5518210659431,-0.17419600992700154,
NW3 1AB,51.56539687563291,-0.1721379523821925,
NW3 1AN,51.563885073791575,-0.18111881953091727,
NW4 1AH,51.59637005570942,-0.22054140743044523,
NW4 1AJ,51.59055218807355,-0.2210712274639619,
NW5 1AN,51.54887384672508,-0.14885900820776687,
NW6 1AA,51.5480040187275,-0.19734692379123933,
NW6 1AE,51.557514651715,-0.19008938903907271,
NW6 1AD,51.55572569081416,-0.1997596879762821,
NW7 0BW,51.60772982389726,-0.23843007159384186,
NW7 0HU,51.625229228366436,-0.23902698704138664,
NW8 0AP,51.54403526248744,-0.17483625381069795,
NW8 0AG,51.54711661770733,-0.18517834511481543,
NW9 0AE,51.58134006933725,-0.26671432800751194,
NW9 0AN,51.59453587579592,-0.25161706650525445,
NW10 0AB,51.55705177126211,-0.2451707219905465,
NW10 0AG,51.5692076433369,-0.24544926972562742,
NW10 0AR,51.56414928723285,-0.25008126974468614,
NW11 0AL,51.581706015543716,-0.1995645973370761,
N1 0AN,51.537170269661495,-0.1153859475788606,
N2 0AE,51.580060456237995,-0.1636343459326744,
N2 0AH,51.58188976751694,-0.17724896345840066,
N3 1AE,51.60654277390173,-0.18293414706855468,
N3 1AL,51.59965098905746,-0.19516109016732325,
N4 1AB,51.58745853305355,-0.09995802914200319,
N4 1AH,51.57293185841084,-0.09829773477040987,
N5 1AJ,51.549557216294225,-0.10268602801162821,
N5 1AL,51.54304500387291,-0.10575321988724387,
N5 1AB,51.555980994792826,-0.09564964959083645,
N6 4AJ,51.584660802044304,-0.1542229670933364,
N6 4AB,51.5659260089732,-0.14616460521731822,
N6 4AL,51.57822247425338,-0.15149401175304364,
N8 0AD,51.584643170406814,-0.11037315659587907,
N8 0AE,51.57745924530364,-0.10968933191988987,
N9 0AL,51.61991976490758,-0.0646134844655767,
N9 0AH,51.61941899089537,-0.044579100291498946,
N9 0AF,51.63426010917292,-0.05026696659674923,
N10 1AL,51.60307897911934,-0.1495314676751277,
N10 1AD,51.59422326188302,-0.15283638712672812,
N11 1AN,51.62314569450582,-0.12955010911313602,
N11 1AJ,51.62455059140278,-0.14359137725570062,
N12 0AG,51.60582580363689,-0.16113417189191898,
N13 4AE,51.629212977517696,-0.1129659589009711,
N13 4AA,51.62141492201984,-0.11012226774885156,
N14 4AG,51.64790976062521,-0.12948920793176136,
N14 4AL,51.652057680332234,-0.1453728172588305,
